"वार्षिक सारांश 2026","","","","","","","",""
"","","","","","","","",""
"माह","कुल अंशदान","कुल ऋण जमा","कुल ब्याज","कुल पेनल्टी","कुल जमा","कुल ऋण दिया","अंतिम बकाया ऋण","कुल खर्च"
"जनवरी 2026","=SUM(January!D5:D34)","=SUM(January!G5:G34)","=SUM(January!I5:I34)","=SUM(January!J5:J34)","=SUM(January!K5:K34)","=SUM(January!F5:F34)","=SUM(January!H5:H34)","=SUMIF('Cash Book'!$G$2:$G$201,""January"",'Cash Book'!$E$2:$E$201)"
"फरवरी 2026","=SUM(February!D5:D34)","=SUM(February!G5:G34)","=SUM(February!I5:I34)","=SUM(February!J5:J34)","=SUM(February!K5:K34)","=SUM(February!F5:F34)","=SUM(February!H5:H34)","=SUMIF('Cash Book'!$G$2:$G$201,""February"",'Cash Book'!$E$2:$E$201)"
"मार्च 2026","=SUM(March!D5:D34)","=SUM(March!G5:G34)","=SUM(March!I5:I34)","=SUM(March!J5:J34)","=SUM(March!K5:K34)","=SUM(March!F5:F34)","=SUM(March!H5:H34)","=SUMIF('Cash Book'!$G$2:$G$201,""March"",'Cash Book'!$E$2:$E$201)"
"अप्रैल 2026","=SUM(April!D5:D34)","=SUM(April!G5:G34)","=SUM(April!I5:I34)","=SUM(April!J5:J34)","=SUM(April!K5:K34)","=SUM(April!F5:F34)","=SUM(April!H5:H34)","=SUMIF('Cash Book'!$G$2:$G$201,""April"",'Cash Book'!$E$2:$E$201)"
"मई 2026","=SUM(May!D5:D34)","=SUM(May!G5:G34)","=SUM(May!I5:I34)","=SUM(May!J5:J34)","=SUM(May!K5:K34)","=SUM(May!F5:F34)","=SUM(May!H5:H34)","=SUMIF('Cash Book'!$G$2:$G$201,""May"",'Cash Book'!$E$2:$E$201)"
"जून 2026","=SUM(June!D5:D34)","=SUM(June!G5:G34)","=SUM(June!I5:I34)","=SUM(June!J5:J34)","=SUM(June!K5:K34)","=SUM(June!F5:F34)","=SUM(June!H5:H34)","=SUMIF('Cash Book'!$G$2:$G$201,""June"",'Cash Book'!$E$2:$E$201)"
"जुलाई 2026","=SUM(July!D5:D34)","=SUM(July!G5:G34)","=SUM(July!I5:I34)","=SUM(July!J5:J34)","=SUM(July!K5:K34)","=SUM(July!F5:F34)","=SUM(July!H5:H34)","=SUMIF('Cash Book'!$G$2:$G$201,""July"",'Cash Book'!$E$2:$E$201)"
"अगस्त 2026","=SUM(August!D5:D34)","=SUM(August!G5:G34)","=SUM(August!I5:I34)","=SUM(August!J5:J34)","=SUM(August!K5:K34)","=SUM(August!F5:F34)","=SUM(August!H5:H34)","=SUMIF('Cash Book'!$G$2:$G$201,""August"",'Cash Book'!$E$2:$E$201)"
"सितंबर 2026","=SUM(September!D5:D34)","=SUM(September!G5:G34)","=SUM(September!I5:I34)","=SUM(September!J5:J34)","=SUM(September!K5:K34)","=SUM(September!F5:F34)","=SUM(September!H5:H34)","=SUMIF('Cash Book'!$G$2:$G$201,""September"",'Cash Book'!$E$2:$E$201)"
"अक्टूबर 2026","=SUM(October!D5:D34)","=SUM(October!G5:G34)","=SUM(October!I5:I34)","=SUM(October!J5:J34)","=SUM(October!K5:K34)","=SUM(October!F5:F34)","=SUM(October!H5:H34)","=SUMIF('Cash Book'!$G$2:$G$201,""October"",'Cash Book'!$E$2:$E$201)"
"नवंबर 2026","=SUM(November!D5:D34)","=SUM(November!G5:G34)","=SUM(November!I5:I34)","=SUM(November!J5:J34)","=SUM(November!K5:K34)","=SUM(November!F5:F34)","=SUM(November!H5:H34)","=SUMIF('Cash Book'!$G$2:$G$201,""November"",'Cash Book'!$E$2:$E$201)"
"दिसंबर 2026","=SUM(December!D5:D34)","=SUM(December!G5:G34)","=SUM(December!I5:I34)","=SUM(December!J5:J34)","=SUM(December!K5:K34)","=SUM(December!F5:F34)","=SUM(December!H5:H34)","=SUMIF('Cash Book'!$G$2:$G$201,""December"",'Cash Book'!$E$2:$E$201)"
"वार्षिक योग","=SUM(B4:B15)","=SUM(C4:C15)","=SUM(D4:D15)","=SUM(E4:E15)","=SUM(F4:F15)","=SUM(G4:G15)","",""
