"Date","Transaction Type","Particulars","Cash In","Cash Out (Expense)","Balance","Month","Reference/Remark"
"","","","","","=IF(COUNTA(A2:E2)=0,"""",SUM($D$2:D2)-SUM($E$2:E2))","=IF(A2="""","""",TEXT(A2,""mmmm""))",""
"","","","","","=IF(COUNTA(A3:E3)=0,"""",SUM($D$2:D3)-SUM($E$2:E3))","=IF(A3="""","""",TEXT(A3,""mmmm""))",""
"","","","","","=IF(COUNTA(A4:E4)=0,"""",SUM($D$2:D4)-SUM($E$2:E4))","=IF(A4="""","""",TEXT(A4,""mmmm""))",""
"","","","","","=IF(COUNTA(A5:E5)=0,"""",SUM($D$2:D5)-SUM($E$2:E5))","=IF(A5="""","""",TEXT(A5,""mmmm""))",""
"","","","","","=IF(COUNTA(A6:E6)=0,"""",SUM($D$2:D6)-SUM($E$2:E6))","=IF(A6="""","""",TEXT(A6,""mmmm""))",""
"","","","","","=IF(COUNTA(A7:E7)=0,"""",SUM($D$2:D7)-SUM($E$2:E7))","=IF(A7="""","""",TEXT(A7,""mmmm""))",""
"","","","","","=IF(COUNTA(A8:E8)=0,"""",SUM($D$2:D8)-SUM($E$2:E8))","=IF(A8="""","""",TEXT(A8,""mmmm""))",""
"","","","","","=IF(COUNTA(A9:E9)=0,"""",SUM($D$2:D9)-SUM($E$2:E9))","=IF(A9="""","""",TEXT(A9,""mmmm""))",""
"","","","","","=IF(COUNTA(A10:E10)=0,"""",SUM($D$2:D10)-SUM($E$2:E10))","=IF(A10="""","""",TEXT(A10,""mmmm""))",""
"","","","","","=IF(COUNTA(A11:E11)=0,"""",SUM($D$2:D11)-SUM($E$2:E11))","=IF(A11="""","""",TEXT(A11,""mmmm""))",""
"","","","","","=IF(COUNTA(A12:E12)=0,"""",SUM($D$2:D12)-SUM($E$2:E12))","=IF(A12="""","""",TEXT(A12,""mmmm""))",""
"","","","","","=IF(COUNTA(A13:E13)=0,"""",SUM($D$2:D13)-SUM($E$2:E13))","=IF(A13="""","""",TEXT(A13,""mmmm""))",""
"","","","","","=IF(COUNTA(A14:E14)=0,"""",SUM($D$2:D14)-SUM($E$2:E14))","=IF(A14="""","""",TEXT(A14,""mmmm""))",""
"","","","","","=IF(COUNTA(A15:E15)=0,"""",SUM($D$2:D15)-SUM($E$2:E15))","=IF(A15="""","""",TEXT(A15,""mmmm""))",""
"","","","","","=IF(COUNTA(A16:E16)=0,"""",SUM($D$2:D16)-SUM($E$2:E16))","=IF(A16="""","""",TEXT(A16,""mmmm""))",""
"","","","","","=IF(COUNTA(A17:E17)=0,"""",SUM($D$2:D17)-SUM($E$2:E17))","=IF(A17="""","""",TEXT(A17,""mmmm""))",""
"","","","","","=IF(COUNTA(A18:E18)=0,"""",SUM($D$2:D18)-SUM($E$2:E18))","=IF(A18="""","""",TEXT(A18,""mmmm""))",""
"","","","","","=IF(COUNTA(A19:E19)=0,"""",SUM($D$2:D19)-SUM($E$2:E19))","=IF(A19="""","""",TEXT(A19,""mmmm""))",""
"","","","","","=IF(COUNTA(A20:E20)=0,"""",SUM($D$2:D20)-SUM($E$2:E20))","=IF(A20="""","""",TEXT(A20,""mmmm""))",""
"","","","","","=IF(COUNTA(A21:E21)=0,"""",SUM($D$2:D21)-SUM($E$2:E21))","=IF(A21="""","""",TEXT(A21,""mmmm""))",""
"","","","","","=IF(COUNTA(A22:E22)=0,"""",SUM($D$2:D22)-SUM($E$2:E22))","=IF(A22="""","""",TEXT(A22,""mmmm""))",""
"","","","","","=IF(COUNTA(A23:E23)=0,"""",SUM($D$2:D23)-SUM($E$2:E23))","=IF(A23="""","""",TEXT(A23,""mmmm""))",""
"","","","","","=IF(COUNTA(A24:E24)=0,"""",SUM($D$2:D24)-SUM($E$2:E24))","=IF(A24="""","""",TEXT(A24,""mmmm""))",""
"","","","","","=IF(COUNTA(A25:E25)=0,"""",SUM($D$2:D25)-SUM($E$2:E25))","=IF(A25="""","""",TEXT(A25,""mmmm""))",""
"","","","","","=IF(COUNTA(A26:E26)=0,"""",SUM($D$2:D26)-SUM($E$2:E26))","=IF(A26="""","""",TEXT(A26,""mmmm""))",""
"","","","","","=IF(COUNTA(A27:E27)=0,"""",SUM($D$2:D27)-SUM($E$2:E27))","=IF(A27="""","""",TEXT(A27,""mmmm""))",""
"","","","","","=IF(COUNTA(A28:E28)=0,"""",SUM($D$2:D28)-SUM($E$2:E28))","=IF(A28="""","""",TEXT(A28,""mmmm""))",""
"","","","","","=IF(COUNTA(A29:E29)=0,"""",SUM($D$2:D29)-SUM($E$2:E29))","=IF(A29="""","""",TEXT(A29,""mmmm""))",""
"","","","","","=IF(COUNTA(A30:E30)=0,"""",SUM($D$2:D30)-SUM($E$2:E30))","=IF(A30="""","""",TEXT(A30,""mmmm""))",""
"","","","","","=IF(COUNTA(A31:E31)=0,"""",SUM($D$2:D31)-SUM($E$2:E31))","=IF(A31="""","""",TEXT(A31,""mmmm""))",""
"","","","","","=IF(COUNTA(A32:E32)=0,"""",SUM($D$2:D32)-SUM($E$2:E32))","=IF(A32="""","""",TEXT(A32,""mmmm""))",""
"","","","","","=IF(COUNTA(A33:E33)=0,"""",SUM($D$2:D33)-SUM($E$2:E33))","=IF(A33="""","""",TEXT(A33,""mmmm""))",""
"","","","","","=IF(COUNTA(A34:E34)=0,"""",SUM($D$2:D34)-SUM($E$2:E34))","=IF(A34="""","""",TEXT(A34,""mmmm""))",""
"","","","","","=IF(COUNTA(A35:E35)=0,"""",SUM($D$2:D35)-SUM($E$2:E35))","=IF(A35="""","""",TEXT(A35,""mmmm""))",""
"","","","","","=IF(COUNTA(A36:E36)=0,"""",SUM($D$2:D36)-SUM($E$2:E36))","=IF(A36="""","""",TEXT(A36,""mmmm""))",""
"","","","","","=IF(COUNTA(A37:E37)=0,"""",SUM($D$2:D37)-SUM($E$2:E37))","=IF(A37="""","""",TEXT(A37,""mmmm""))",""
"","","","","","=IF(COUNTA(A38:E38)=0,"""",SUM($D$2:D38)-SUM($E$2:E38))","=IF(A38="""","""",TEXT(A38,""mmmm""))",""
"","","","","","=IF(COUNTA(A39:E39)=0,"""",SUM($D$2:D39)-SUM($E$2:E39))","=IF(A39="""","""",TEXT(A39,""mmmm""))",""
"","","","","","=IF(COUNTA(A40:E40)=0,"""",SUM($D$2:D40)-SUM($E$2:E40))","=IF(A40="""","""",TEXT(A40,""mmmm""))",""
"","","","","","=IF(COUNTA(A41:E41)=0,"""",SUM($D$2:D41)-SUM($E$2:E41))","=IF(A41="""","""",TEXT(A41,""mmmm""))",""
"","","","","","=IF(COUNTA(A42:E42)=0,"""",SUM($D$2:D42)-SUM($E$2:E42))","=IF(A42="""","""",TEXT(A42,""mmmm""))",""
"","","","","","=IF(COUNTA(A43:E43)=0,"""",SUM($D$2:D43)-SUM($E$2:E43))","=IF(A43="""","""",TEXT(A43,""mmmm""))",""
"","","","","","=IF(COUNTA(A44:E44)=0,"""",SUM($D$2:D44)-SUM($E$2:E44))","=IF(A44="""","""",TEXT(A44,""mmmm""))",""
"","","","","","=IF(COUNTA(A45:E45)=0,"""",SUM($D$2:D45)-SUM($E$2:E45))","=IF(A45="""","""",TEXT(A45,""mmmm""))",""
"","","","","","=IF(COUNTA(A46:E46)=0,"""",SUM($D$2:D46)-SUM($E$2:E46))","=IF(A46="""","""",TEXT(A46,""mmmm""))",""
"","","","","","=IF(COUNTA(A47:E47)=0,"""",SUM($D$2:D47)-SUM($E$2:E47))","=IF(A47="""","""",TEXT(A47,""mmmm""))",""
"","","","","","=IF(COUNTA(A48:E48)=0,"""",SUM($D$2:D48)-SUM($E$2:E48))","=IF(A48="""","""",TEXT(A48,""mmmm""))",""
"","","","","","=IF(COUNTA(A49:E49)=0,"""",SUM($D$2:D49)-SUM($E$2:E49))","=IF(A49="""","""",TEXT(A49,""mmmm""))",""
"","","","","","=IF(COUNTA(A50:E50)=0,"""",SUM($D$2:D50)-SUM($E$2:E50))","=IF(A50="""","""",TEXT(A50,""mmmm""))",""
"","","","","","=IF(COUNTA(A51:E51)=0,"""",SUM($D$2:D51)-SUM($E$2:E51))","=IF(A51="""","""",TEXT(A51,""mmmm""))",""
"","","","","","=IF(COUNTA(A52:E52)=0,"""",SUM($D$2:D52)-SUM($E$2:E52))","=IF(A52="""","""",TEXT(A52,""mmmm""))",""
"","","","","","=IF(COUNTA(A53:E53)=0,"""",SUM($D$2:D53)-SUM($E$2:E53))","=IF(A53="""","""",TEXT(A53,""mmmm""))",""
"","","","","","=IF(COUNTA(A54:E54)=0,"""",SUM($D$2:D54)-SUM($E$2:E54))","=IF(A54="""","""",TEXT(A54,""mmmm""))",""
"","","","","","=IF(COUNTA(A55:E55)=0,"""",SUM($D$2:D55)-SUM($E$2:E55))","=IF(A55="""","""",TEXT(A55,""mmmm""))",""
"","","","","","=IF(COUNTA(A56:E56)=0,"""",SUM($D$2:D56)-SUM($E$2:E56))","=IF(A56="""","""",TEXT(A56,""mmmm""))",""
"","","","","","=IF(COUNTA(A57:E57)=0,"""",SUM($D$2:D57)-SUM($E$2:E57))","=IF(A57="""","""",TEXT(A57,""mmmm""))",""
"","","","","","=IF(COUNTA(A58:E58)=0,"""",SUM($D$2:D58)-SUM($E$2:E58))","=IF(A58="""","""",TEXT(A58,""mmmm""))",""
"","","","","","=IF(COUNTA(A59:E59)=0,"""",SUM($D$2:D59)-SUM($E$2:E59))","=IF(A59="""","""",TEXT(A59,""mmmm""))",""
"","","","","","=IF(COUNTA(A60:E60)=0,"""",SUM($D$2:D60)-SUM($E$2:E60))","=IF(A60="""","""",TEXT(A60,""mmmm""))",""
"","","","","","=IF(COUNTA(A61:E61)=0,"""",SUM($D$2:D61)-SUM($E$2:E61))","=IF(A61="""","""",TEXT(A61,""mmmm""))",""
"","","","","","=IF(COUNTA(A62:E62)=0,"""",SUM($D$2:D62)-SUM($E$2:E62))","=IF(A62="""","""",TEXT(A62,""mmmm""))",""
"","","","","","=IF(COUNTA(A63:E63)=0,"""",SUM($D$2:D63)-SUM($E$2:E63))","=IF(A63="""","""",TEXT(A63,""mmmm""))",""
"","","","","","=IF(COUNTA(A64:E64)=0,"""",SUM($D$2:D64)-SUM($E$2:E64))","=IF(A64="""","""",TEXT(A64,""mmmm""))",""
"","","","","","=IF(COUNTA(A65:E65)=0,"""",SUM($D$2:D65)-SUM($E$2:E65))","=IF(A65="""","""",TEXT(A65,""mmmm""))",""
"","","","","","=IF(COUNTA(A66:E66)=0,"""",SUM($D$2:D66)-SUM($E$2:E66))","=IF(A66="""","""",TEXT(A66,""mmmm""))",""
"","","","","","=IF(COUNTA(A67:E67)=0,"""",SUM($D$2:D67)-SUM($E$2:E67))","=IF(A67="""","""",TEXT(A67,""mmmm""))",""
"","","","","","=IF(COUNTA(A68:E68)=0,"""",SUM($D$2:D68)-SUM($E$2:E68))","=IF(A68="""","""",TEXT(A68,""mmmm""))",""
"","","","","","=IF(COUNTA(A69:E69)=0,"""",SUM($D$2:D69)-SUM($E$2:E69))","=IF(A69="""","""",TEXT(A69,""mmmm""))",""
"","","","","","=IF(COUNTA(A70:E70)=0,"""",SUM($D$2:D70)-SUM($E$2:E70))","=IF(A70="""","""",TEXT(A70,""mmmm""))",""
"","","","","","=IF(COUNTA(A71:E71)=0,"""",SUM($D$2:D71)-SUM($E$2:E71))","=IF(A71="""","""",TEXT(A71,""mmmm""))",""
"","","","","","=IF(COUNTA(A72:E72)=0,"""",SUM($D$2:D72)-SUM($E$2:E72))","=IF(A72="""","""",TEXT(A72,""mmmm""))",""
"","","","","","=IF(COUNTA(A73:E73)=0,"""",SUM($D$2:D73)-SUM($E$2:E73))","=IF(A73="""","""",TEXT(A73,""mmmm""))",""
"","","","","","=IF(COUNTA(A74:E74)=0,"""",SUM($D$2:D74)-SUM($E$2:E74))","=IF(A74="""","""",TEXT(A74,""mmmm""))",""
"","","","","","=IF(COUNTA(A75:E75)=0,"""",SUM($D$2:D75)-SUM($E$2:E75))","=IF(A75="""","""",TEXT(A75,""mmmm""))",""
"","","","","","=IF(COUNTA(A76:E76)=0,"""",SUM($D$2:D76)-SUM($E$2:E76))","=IF(A76="""","""",TEXT(A76,""mmmm""))",""
"","","","","","=IF(COUNTA(A77:E77)=0,"""",SUM($D$2:D77)-SUM($E$2:E77))","=IF(A77="""","""",TEXT(A77,""mmmm""))",""
"","","","","","=IF(COUNTA(A78:E78)=0,"""",SUM($D$2:D78)-SUM($E$2:E78))","=IF(A78="""","""",TEXT(A78,""mmmm""))",""
"","","","","","=IF(COUNTA(A79:E79)=0,"""",SUM($D$2:D79)-SUM($E$2:E79))","=IF(A79="""","""",TEXT(A79,""mmmm""))",""
"","","","","","=IF(COUNTA(A80:E80)=0,"""",SUM($D$2:D80)-SUM($E$2:E80))","=IF(A80="""","""",TEXT(A80,""mmmm""))",""
"","","","","","=IF(COUNTA(A81:E81)=0,"""",SUM($D$2:D81)-SUM($E$2:E81))","=IF(A81="""","""",TEXT(A81,""mmmm""))",""
"","","","","","=IF(COUNTA(A82:E82)=0,"""",SUM($D$2:D82)-SUM($E$2:E82))","=IF(A82="""","""",TEXT(A82,""mmmm""))",""
"","","","","","=IF(COUNTA(A83:E83)=0,"""",SUM($D$2:D83)-SUM($E$2:E83))","=IF(A83="""","""",TEXT(A83,""mmmm""))",""
"","","","","","=IF(COUNTA(A84:E84)=0,"""",SUM($D$2:D84)-SUM($E$2:E84))","=IF(A84="""","""",TEXT(A84,""mmmm""))",""
"","","","","","=IF(COUNTA(A85:E85)=0,"""",SUM($D$2:D85)-SUM($E$2:E85))","=IF(A85="""","""",TEXT(A85,""mmmm""))",""
"","","","","","=IF(COUNTA(A86:E86)=0,"""",SUM($D$2:D86)-SUM($E$2:E86))","=IF(A86="""","""",TEXT(A86,""mmmm""))",""
"","","","","","=IF(COUNTA(A87:E87)=0,"""",SUM($D$2:D87)-SUM($E$2:E87))","=IF(A87="""","""",TEXT(A87,""mmmm""))",""
"","","","","","=IF(COUNTA(A88:E88)=0,"""",SUM($D$2:D88)-SUM($E$2:E88))","=IF(A88="""","""",TEXT(A88,""mmmm""))",""
"","","","","","=IF(COUNTA(A89:E89)=0,"""",SUM($D$2:D89)-SUM($E$2:E89))","=IF(A89="""","""",TEXT(A89,""mmmm""))",""
"","","","","","=IF(COUNTA(A90:E90)=0,"""",SUM($D$2:D90)-SUM($E$2:E90))","=IF(A90="""","""",TEXT(A90,""mmmm""))",""
"","","","","","=IF(COUNTA(A91:E91)=0,"""",SUM($D$2:D91)-SUM($E$2:E91))","=IF(A91="""","""",TEXT(A91,""mmmm""))",""
"","","","","","=IF(COUNTA(A92:E92)=0,"""",SUM($D$2:D92)-SUM($E$2:E92))","=IF(A92="""","""",TEXT(A92,""mmmm""))",""
"","","","","","=IF(COUNTA(A93:E93)=0,"""",SUM($D$2:D93)-SUM($E$2:E93))","=IF(A93="""","""",TEXT(A93,""mmmm""))",""
"","","","","","=IF(COUNTA(A94:E94)=0,"""",SUM($D$2:D94)-SUM($E$2:E94))","=IF(A94="""","""",TEXT(A94,""mmmm""))",""
"","","","","","=IF(COUNTA(A95:E95)=0,"""",SUM($D$2:D95)-SUM($E$2:E95))","=IF(A95="""","""",TEXT(A95,""mmmm""))",""
"","","","","","=IF(COUNTA(A96:E96)=0,"""",SUM($D$2:D96)-SUM($E$2:E96))","=IF(A96="""","""",TEXT(A96,""mmmm""))",""
"","","","","","=IF(COUNTA(A97:E97)=0,"""",SUM($D$2:D97)-SUM($E$2:E97))","=IF(A97="""","""",TEXT(A97,""mmmm""))",""
"","","","","","=IF(COUNTA(A98:E98)=0,"""",SUM($D$2:D98)-SUM($E$2:E98))","=IF(A98="""","""",TEXT(A98,""mmmm""))",""
"","","","","","=IF(COUNTA(A99:E99)=0,"""",SUM($D$2:D99)-SUM($E$2:E99))","=IF(A99="""","""",TEXT(A99,""mmmm""))",""
"","","","","","=IF(COUNTA(A100:E100)=0,"""",SUM($D$2:D100)-SUM($E$2:E100))","=IF(A100="""","""",TEXT(A100,""mmmm""))",""
"","","","","","=IF(COUNTA(A101:E101)=0,"""",SUM($D$2:D101)-SUM($E$2:E101))","=IF(A101="""","""",TEXT(A101,""mmmm""))",""
"","","","","","=IF(COUNTA(A102:E102)=0,"""",SUM($D$2:D102)-SUM($E$2:E102))","=IF(A102="""","""",TEXT(A102,""mmmm""))",""
"","","","","","=IF(COUNTA(A103:E103)=0,"""",SUM($D$2:D103)-SUM($E$2:E103))","=IF(A103="""","""",TEXT(A103,""mmmm""))",""
"","","","","","=IF(COUNTA(A104:E104)=0,"""",SUM($D$2:D104)-SUM($E$2:E104))","=IF(A104="""","""",TEXT(A104,""mmmm""))",""
"","","","","","=IF(COUNTA(A105:E105)=0,"""",SUM($D$2:D105)-SUM($E$2:E105))","=IF(A105="""","""",TEXT(A105,""mmmm""))",""
"","","","","","=IF(COUNTA(A106:E106)=0,"""",SUM($D$2:D106)-SUM($E$2:E106))","=IF(A106="""","""",TEXT(A106,""mmmm""))",""
"","","","","","=IF(COUNTA(A107:E107)=0,"""",SUM($D$2:D107)-SUM($E$2:E107))","=IF(A107="""","""",TEXT(A107,""mmmm""))",""
"","","","","","=IF(COUNTA(A108:E108)=0,"""",SUM($D$2:D108)-SUM($E$2:E108))","=IF(A108="""","""",TEXT(A108,""mmmm""))",""
"","","","","","=IF(COUNTA(A109:E109)=0,"""",SUM($D$2:D109)-SUM($E$2:E109))","=IF(A109="""","""",TEXT(A109,""mmmm""))",""
"","","","","","=IF(COUNTA(A110:E110)=0,"""",SUM($D$2:D110)-SUM($E$2:E110))","=IF(A110="""","""",TEXT(A110,""mmmm""))",""
"","","","","","=IF(COUNTA(A111:E111)=0,"""",SUM($D$2:D111)-SUM($E$2:E111))","=IF(A111="""","""",TEXT(A111,""mmmm""))",""
"","","","","","=IF(COUNTA(A112:E112)=0,"""",SUM($D$2:D112)-SUM($E$2:E112))","=IF(A112="""","""",TEXT(A112,""mmmm""))",""
"","","","","","=IF(COUNTA(A113:E113)=0,"""",SUM($D$2:D113)-SUM($E$2:E113))","=IF(A113="""","""",TEXT(A113,""mmmm""))",""
"","","","","","=IF(COUNTA(A114:E114)=0,"""",SUM($D$2:D114)-SUM($E$2:E114))","=IF(A114="""","""",TEXT(A114,""mmmm""))",""
"","","","","","=IF(COUNTA(A115:E115)=0,"""",SUM($D$2:D115)-SUM($E$2:E115))","=IF(A115="""","""",TEXT(A115,""mmmm""))",""
"","","","","","=IF(COUNTA(A116:E116)=0,"""",SUM($D$2:D116)-SUM($E$2:E116))","=IF(A116="""","""",TEXT(A116,""mmmm""))",""
"","","","","","=IF(COUNTA(A117:E117)=0,"""",SUM($D$2:D117)-SUM($E$2:E117))","=IF(A117="""","""",TEXT(A117,""mmmm""))",""
"","","","","","=IF(COUNTA(A118:E118)=0,"""",SUM($D$2:D118)-SUM($E$2:E118))","=IF(A118="""","""",TEXT(A118,""mmmm""))",""
"","","","","","=IF(COUNTA(A119:E119)=0,"""",SUM($D$2:D119)-SUM($E$2:E119))","=IF(A119="""","""",TEXT(A119,""mmmm""))",""
"","","","","","=IF(COUNTA(A120:E120)=0,"""",SUM($D$2:D120)-SUM($E$2:E120))","=IF(A120="""","""",TEXT(A120,""mmmm""))",""
