"S.No","Member ID","Member Name","Father/Husband Name","Mobile","Joining Date","Nominee","Occupation","Status"
"1","=IF(C2="""","""",""THH""&TEXT(A2,""000""))","","","","","","","Active"
"2","=IF(C3="""","""",""THH""&TEXT(A3,""000""))","","","","","","","Active"
"3","=IF(C4="""","""",""THH""&TEXT(A4,""000""))","","","","","","","Active"
"4","=IF(C5="""","""",""THH""&TEXT(A5,""000""))","","","","","","","Active"
"5","=IF(C6="""","""",""THH""&TEXT(A6,""000""))","","","","","","","Active"
"6","=IF(C7="""","""",""THH""&TEXT(A7,""000""))","","","","","","","Active"
"7","=IF(C8="""","""",""THH""&TEXT(A8,""000""))","","","","","","","Active"
"8","=IF(C9="""","""",""THH""&TEXT(A9,""000""))","","","","","","","Active"
"9","=IF(C10="""","""",""THH""&TEXT(A10,""000""))","","","","","","","Active"
"10","=IF(C11="""","""",""THH""&TEXT(A11,""000""))","","","","","","","Active"
"11","=IF(C12="""","""",""THH""&TEXT(A12,""000""))","","","","","","","Active"
"12","=IF(C13="""","""",""THH""&TEXT(A13,""000""))","","","","","","","Active"
"13","=IF(C14="""","""",""THH""&TEXT(A14,""000""))","","","","","","","Active"
"14","=IF(C15="""","""",""THH""&TEXT(A15,""000""))","","","","","","","Active"
"15","=IF(C16="""","""",""THH""&TEXT(A16,""000""))","","","","","","","Active"
"16","=IF(C17="""","""",""THH""&TEXT(A17,""000""))","","","","","","","Active"
"17","=IF(C18="""","""",""THH""&TEXT(A18,""000""))","","","","","","","Active"
"18","=IF(C19="""","""",""THH""&TEXT(A19,""000""))","","","","","","","Active"
"19","=IF(C20="""","""",""THH""&TEXT(A20,""000""))","","","","","","","Active"
"20","=IF(C21="""","""",""THH""&TEXT(A21,""000""))","","","","","","","Active"
"21","=IF(C22="""","""",""THH""&TEXT(A22,""000""))","","","","","","","Active"
"22","=IF(C23="""","""",""THH""&TEXT(A23,""000""))","","","","","","","Active"
"23","=IF(C24="""","""",""THH""&TEXT(A24,""000""))","","","","","","","Active"
"24","=IF(C25="""","""",""THH""&TEXT(A25,""000""))","","","","","","","Active"
"25","=IF(C26="""","""",""THH""&TEXT(A26,""000""))","","","","","","","Active"
"26","=IF(C27="""","""",""THH""&TEXT(A27,""000""))","","","","","","","Active"
"27","=IF(C28="""","""",""THH""&TEXT(A28,""000""))","","","","","","","Active"
"28","=IF(C29="""","""",""THH""&TEXT(A29,""000""))","","","","","","","Active"
"29","=IF(C30="""","""",""THH""&TEXT(A30,""000""))","","","","","","","Active"
"30","=IF(C31="""","""",""THH""&TEXT(A31,""000""))","","","","","","","Active"
